"arc_length","6","cb","2","3","1","4","5"
3.84e-09,3707.37,9.5577e+08,2.07487e+16,4.1819e+12,1.32744e+21,2.41435e+09,159341
3.87e-09,3730.37,9.60816e+08,2.07399e+16,4.19391e+12,1.32623e+21,2.42754e+09,160168
3.9e-09,3753.37,9.65862e+08,2.07311e+16,4.20593e+12,1.32502e+21,2.44073e+09,160995
3.93e-09,3776.38,9.70908e+08,2.07223e+16,4.21794e+12,1.32382e+21,2.45392e+09,161822
3.96e-09,3799.38,9.75953e+08,2.07135e+16,4.22995e+12,1.32261e+21,2.46711e+09,162650
3.99e-09,3822.38,9.80999e+08,2.07047e+16,4.24197e+12,1.3214e+21,2.4803e+09,163477
4.02e-09,3845.38,9.86045e+08,2.06958e+16,4.25398e+12,1.3202e+21,2.49348e+09,164304
4.05e-09,3868.38,9.9109e+08,2.0687e+16,4.26599e+12,1.31899e+21,2.50667e+09,165132
4.08e-09,3891.39,9.96136e+08,2.06782e+16,4.27801e+12,1.31779e+21,2.51986e+09,165959
4.11e-09,3914.39,1.00118e+09,2.06694e+16,4.29002e+12,1.31658e+21,2.53305e+09,166786
4.14e-09,3937.39,1.00623e+09,2.06606e+16,4.30203e+12,1.31537e+21,2.54624e+09,167614
4.17e-09,3960.39,1.01127e+09,2.06518e+16,4.31405e+12,1.31417e+21,2.55943e+09,168441
4.2e-09,3983.39,1.01632e+09,2.0643e+16,4.32606e+12,1.31296e+21,2.57262e+09,169268
4.23e-09,4003.57,1.02021e+09,2.06127e+16,4.33158e+12,1.31149e+21,2.58343e+09,169872
4.26e-09,4023.74,1.02411e+09,2.05825e+16,4.3371e+12,1.31003e+21,2.59424e+09,170476
4.29e-09,4043.92,1.028e+09,2.05522e+16,4.34262e+12,1.30856e+21,2.60505e+09,171080
4.32e-09,4064.09,1.03189e+09,2.05219e+16,4.34813e+12,1.30709e+21,2.61586e+09,171684
4.35e-09,4084.27,1.03579e+09,2.04917e+16,4.35365e+12,1.30562e+21,2.62667e+09,172288
4.38e-09,4104.44,1.03968e+09,2.04614e+16,4.35917e+12,1.30416e+21,2.63749e+09,172892
4.41e-09,4124.61,1.04357e+09,2.04311e+16,4.36469e+12,1.30269e+21,2.6483e+09,173496
4.44e-09,4144.79,1.04747e+09,2.04008e+16,4.37021e+12,1.30122e+21,2.65911e+09,174100
4.47e-09,4164.96,1.05136e+09,2.03706e+16,4.37573e+12,1.29975e+21,2.66992e+09,174704
4.5e-09,4185.14,1.05525e+09,2.03403e+16,4.38124e+12,1.29829e+21,2.68073e+09,175308
4.53e-09,4205.31,1.05915e+09,2.031e+16,4.38676e+12,1.29682e+21,2.69154e+09,175912
4.56e-09,4225.49,1.06304e+09,2.02798e+16,4.39228e+12,1.29535e+21,2.70236e+09,176516
4.59e-09,4245.66,1.06693e+09,2.02495e+16,4.3978e+12,1.29388e+21,2.71317e+09,177121
4.62e-09,4265.83,1.07083e+09,2.02192e+16,4.40332e+12,1.29242e+21,2.72398e+09,177725
4.65e-09,4286.01,1.07472e+09,2.0189e+16,4.40884e+12,1.29095e+21,2.73479e+09,178329
4.68e-09,4306.18,1.07861e+09,2.01587e+16,4.41435e+12,1.28948e+21,2.7456e+09,178933
4.71e-09,4326.36,1.08251e+09,2.01284e+16,4.41987e+12,1.28801e+21,2.75641e+09,179537
4.74e-09,4346.53,1.0864e+09,2.00982e+16,4.42539e+12,1.28655e+21,2.76722e+09,180141
4.77e-09,4366.71,1.09029e+09,2.00679e+16,4.43091e+12,1.28508e+21,2.77804e+09,180745
4.8e-09,4386.88,1.09419e+09,2.00376e+16,4.43643e+12,1.28361e+21,2.78885e+09,181349
4.83e-09,4404.13,1.09709e+09,1.9998e+16,4.43683e+12,1.28209e+21,2.79734e+09,181753
4.86e-09,4421.38,1.09999e+09,1.99583e+16,4.43723e+12,1.28057e+21,2.80583e+09,182157
4.89e-09,4438.63,1.10289e+09,1.99187e+16,4.43764e+12,1.27905e+21,2.81432e+09,182561
4.92e-09,4455.88,1.10579e+09,1.9879e+16,4.43804e+12,1.27753e+21,2.82281e+09,182966
4.95e-09,4473.12,1.10869e+09,1.98394e+16,4.43844e+12,1.27601e+21,2.8313e+09,183370
4.98e-09,4490.37,1.11159e+09,1.97997e+16,4.43885e+12,1.27449e+21,2.8398e+09,183774
5.01e-09,4507.62,1.1145e+09,1.97601e+16,4.43925e+12,1.27297e+21,2.84829e+09,184179
5.04e-09,4524.87,1.1174e+09,1.97204e+16,4.43966e+12,1.27145e+21,2.85678e+09,184583
5.07e-09,4542.12,1.1203e+09,1.96808e+16,4.44006e+12,1.26993e+21,2.86527e+09,184987
5.1e-09,4559.37,1.1232e+09,1.96411e+16,4.44046e+12,1.26841e+21,2.87376e+09,185391
5.13e-09,4576.62,1.1261e+09,1.96015e+16,4.44087e+12,1.26689e+21,2.88225e+09,185796
5.16e-09,4593.87,1.129e+09,1.95618e+16,4.44127e+12,1.26537e+21,2.89074e+09,186200
5.19e-09,4611.12,1.1319e+09,1.95222e+16,4.44167e+12,1.26385e+21,2.89924e+09,186604
5.22e-09,4628.37,1.1348e+09,1.94825e+16,4.44208e+12,1.26233e+21,2.90773e+09,187008
5.25e-09,4645.62,1.1377e+09,1.94429e+16,4.44248e+12,1.26081e+21,2.91622e+09,187413
5.28e-09,4662.86,1.14061e+09,1.94032e+16,4.44288e+12,1.25929e+21,2.92471e+09,187817
5.31e-09,4680.11,1.14351e+09,1.93636e+16,4.44329e+12,1.25777e+21,2.9332e+09,188221
5.34e-09,4697.36,1.14641e+09,1.93239e+16,4.44369e+12,1.25625e+21,2.94169e+09,188625
5.37e-09,4714.61,1.14931e+09,1.92843e+16,4.44409e+12,1.25473e+21,2.95018e+09,189030
5.4e-09,4731.86,1.15221e+09,1.92446e+16,4.4445e+12,1.25321e+21,2.95868e+09,189434
5.43e-09,4746.17,1.1542e+09,1.92015e+16,4.44103e+12,1.25169e+21,2.96497e+09,189662
5.46e-09,4760.48,1.15619e+09,1.91584e+16,4.43756e+12,1.25016e+21,2.97126e+09,189891
5.49e-09,4774.8,1.15819e+09,1.91153e+16,4.43409e+12,1.24863e+21,2.97756e+09,190119
5.52e-09,4789.11,1.16018e+09,1.90721e+16,4.43062e+12,1.2471e+21,2.98385e+09,190347
5.55e-09,4803.42,1.16217e+09,1.9029e+16,4.42715e+12,1.24558e+21,2.99015e+09,190576
5.58e-09,4817.73,1.16416e+09,1.89859e+16,4.42368e+12,1.24405e+21,2.99644e+09,190804
5.61e-09,4832.05,1.16616e+09,1.89428e+16,4.42021e+12,1.24252e+21,3.00273e+09,191032
5.64e-09,4846.36,1.16815e+09,1.88996e+16,4.41674e+12,1.24099e+21,3.00903e+09,191261
5.67e-09,4860.67,1.17014e+09,1.88565e+16,4.41327e+12,1.23947e+21,3.01532e+09,191489
5.7e-09,4874.98,1.17213e+09,1.88134e+16,4.4098e+12,1.23794e+21,3.02161e+09,191718
5.73e-09,4889.29,1.17413e+09,1.87703e+16,4.40633e+12,1.23641e+21,3.02791e+09,191946
5.76e-09,4903.61,1.17612e+09,1.87271e+16,4.40287e+12,1.23488e+21,3.0342e+09,192174
5.79e-09,4917.92,1.17811e+09,1.8684e+16,4.3994e+12,1.23336e+21,3.0405e+09,192403
5.82e-09,4932.23,1.1801e+09,1.86409e+16,4.39593e+12,1.23183e+21,3.04679e+09,192631
5.85e-09,4946.54,1.1821e+09,1.85977e+16,4.39246e+12,1.2303e+21,3.05308e+09,192859
5.88e-09,4960.86,1.18409e+09,1.85546e+16,4.38899e+12,1.22877e+21,3.05938e+09,193088
5.91e-09,4975.17,1.18608e+09,1.85115e+16,4.38552e+12,1.22725e+21,3.06567e+09,193316
5.94e-09,4989.48,1.18807e+09,1.84684e+16,4.38205e+12,1.22572e+21,3.07197e+09,193545
5.97e-09,5003.79,1.19006e+09,1.84252e+16,4.37858e+12,1.22419e+21,3.07826e+09,193773
6e-09,5018.11,1.19206e+09,1.83821e+16,4.37511e+12,1.22266e+21,3.08455e+09,194001
6.03e-09,5029.54,1.19321e+09,1.83382e+16,4.3688e+12,1.22114e+21,3.08882e+09,194076
6.06e-09,5040.97,1.19437e+09,1.82942e+16,4.36248e+12,1.21961e+21,3.09308e+09,194152
6.09e-09,5052.4,1.19552e+09,1.82502e+16,4.35617e+12,1.21808e+21,3.09734e+09,194227
6.12e-09,5063.83,1.19668e+09,1.82063e+16,4.34986e+12,1.21655e+21,3.1016e+09,194302
6.15e-09,5075.26,1.19783e+09,1.81623e+16,4.34354e+12,1.21502e+21,3.10586e+09,194378
6.18e-09,5086.7,1.19899e+09,1.81183e+16,4.33723e+12,1.21349e+21,3.11012e+09,194453
6.21e-09,5098.13,1.20014e+09,1.80744e+16,4.33092e+12,1.21197e+21,3.11438e+09,194528
6.24e-09,5109.56,1.20129e+09,1.80304e+16,4.32461e+12,1.21044e+21,3.11864e+09,194603
6.27e-09,5120.99,1.20245e+09,1.79865e+16,4.31829e+12,1.20891e+21,3.1229e+09,194678
6.3e-09,5132.42,1.2036e+09,1.79425e+16,4.31198e+12,1.20738e+21,3.12716e+09,194754
6.33e-09,5143.86,1.20476e+09,1.78985e+16,4.30567e+12,1.20585e+21,3.13142e+09,194829
6.36e-09,5155.29,1.20591e+09,1.78546e+16,4.29935e+12,1.20432e+21,3.13568e+09,194904
6.39e-09,5166.72,1.20707e+09,1.78106e+16,4.29304e+12,1.2028e+21,3.13994e+09,194980
6.42e-09,5178.15,1.20822e+09,1.77667e+16,4.28673e+12,1.20127e+21,3.14421e+09,195055
6.45e-09,5189.58,1.20938e+09,1.77227e+16,4.28041e+12,1.19974e+21,3.14847e+09,195130
6.48e-09,5201.01,1.21053e+09,1.76787e+16,4.2741e+12,1.19821e+21,3.15273e+09,195205
6.51e-09,5212.45,1.21169e+09,1.76348e+16,4.26779e+12,1.19668e+21,3.15699e+09,195281
6.54e-09,5223.88,1.21284e+09,1.75908e+16,4.26147e+12,1.19516e+21,3.16125e+09,195356
6.57e-09,5235.31,1.214e+09,1.75469e+16,4.25516e+12,1.19363e+21,3.16551e+09,195431
6.6e-09,5246.74,1.21515e+09,1.75029e+16,4.24885e+12,1.1921e+21,3.16977e+09,195506
6.63e-09,5255.4,1.21555e+09,1.74592e+16,4.24051e+12,1.19057e+21,3.17219e+09,195450
6.66e-09,5264.06,1.21594e+09,1.74156e+16,4.23217e+12,1.18904e+21,3.1746e+09,195394
6.69e-09,5272.72,1.21633e+09,1.73719e+16,4.22384e+12,1.18751e+21,3.17702e+09,195338
6.72e-09,5281.39,1.21673e+09,1.73283e+16,4.2155e+12,1.18599e+21,3.17943e+09,195282
6.75e-09,5290.05,1.21712e+09,1.72846e+16,4.20717e+12,1.18446e+21,3.18185e+09,195225
6.78e-09,5298.71,1.21751e+09,1.7241e+16,4.19883e+12,1.18293e+21,3.18426e+09,195169
6.81e-09,5307.37,1.21791e+09,1.71973e+16,4.19049e+12,1.1814e+21,3.18668e+09,195113
6.84e-09,5316.03,1.2183e+09,1.71537e+16,4.18216e+12,1.17987e+21,3.18909e+09,195057
6.87e-09,5324.69,1.2187e+09,1.711e+16,4.17382e+12,1.17834e+21,3.19151e+09,195001
6.9e-09,5333.35,1.21909e+09,1.70663e+16,4.16548e+12,1.17682e+21,3.19392e+09,194945
6.93e-09,5342.01,1.21948e+09,1.70227e+16,4.15715e+12,1.17529e+21,3.19634e+09,194888
6.96e-09,5350.67,1.21988e+09,1.6979e+16,4.14881e+12,1.17376e+21,3.19875e+09,194832
6.99e-09,5359.33,1.22027e+09,1.69354e+16,4.14048e+12,1.17223e+21,3.20117e+09,194776
7.02e-09,5367.99,1.22066e+09,1.68917e+16,4.13214e+12,1.1707e+21,3.20359e+09,194720
7.05e-09,5376.65,1.22106e+09,1.68481e+16,4.1238e+12,1.16917e+21,3.206e+09,194664
7.08e-09,5385.31,1.22145e+09,1.68044e+16,4.11547e+12,1.16765e+21,3.20842e+09,194608
7.11e-09,5393.97,1.22185e+09,1.67608e+16,4.10713e+12,1.16612e+21,3.21083e+09,194551
7.14e-09,5402.64,1.22224e+09,1.67171e+16,4.09879e+12,1.16459e+21,3.21325e+09,194495
7.17e-09,5411.3,1.22263e+09,1.66735e+16,4.09046e+12,1.16306e+21,3.21566e+09,194439
7.2e-09,5419.96,1.22303e+09,1.66298e+16,4.08212e+12,1.16153e+21,3.21808e+09,194383
7.23e-09,5426,1.22274e+09,1.65869e+16,4.0724e+12,1.16e+21,3.21885e+09,194216
7.26e-09,5432.04,1.22246e+09,1.65441e+16,4.06269e+12,1.15848e+21,3.21961e+09,194049
7.29e-09,5438.08,1.22217e+09,1.65012e+16,4.05297e+12,1.15695e+21,3.22038e+09,193882
7.32e-09,5444.12,1.22189e+09,1.64583e+16,4.04325e+12,1.15542e+21,3.22115e+09,193715
7.35e-09,5450.15,1.2216e+09,1.64155e+16,4.03353e+12,1.15389e+21,3.22192e+09,193548
7.38e-09,5456.19,1.22132e+09,1.63726e+16,4.02382e+12,1.15236e+21,3.22269e+09,193381
7.41e-09,5462.23,1.22103e+09,1.63298e+16,4.0141e+12,1.15083e+21,3.22346e+09,193214
7.44e-09,5468.27,1.22075e+09,1.62869e+16,4.00438e+12,1.14931e+21,3.22423e+09,193047
7.47e-09,5474.31,1.22047e+09,1.6244e+16,3.99466e+12,1.14778e+21,3.225e+09,192880
7.5e-09,5480.35,1.22018e+09,1.62012e+16,3.98495e+12,1.14625e+21,3.22576e+09,192713
7.53e-09,5486.39,1.2199e+09,1.61583e+16,3.97523e+12,1.14472e+21,3.22653e+09,192546
