"arc_length","cb","6","1","2","4","5","3"
5.16e-09,2.19639e+09,1.87694e+06,1.26784e+21,5.65235e+16,3.49787e+10,5.90349e+07,4.51202e+13
5.19e-09,2.20362e+09,1.88534e+06,1.26632e+21,5.6458e+16,3.51116e+10,5.92859e+07,4.52349e+13
5.22e-09,2.21085e+09,1.89374e+06,1.2648e+21,5.63925e+16,3.52444e+10,5.95368e+07,4.53497e+13
5.25e-09,2.21808e+09,1.90213e+06,1.26327e+21,5.6327e+16,3.53773e+10,5.97877e+07,4.54645e+13
5.28e-09,2.22532e+09,1.91053e+06,1.26175e+21,5.62615e+16,3.55102e+10,6.00387e+07,4.55792e+13
5.31e-09,2.23255e+09,1.91893e+06,1.26023e+21,5.6196e+16,3.56431e+10,6.02896e+07,4.5694e+13
5.34e-09,2.23978e+09,1.92732e+06,1.25871e+21,5.61305e+16,3.5776e+10,6.05406e+07,4.58088e+13
5.37e-09,2.24701e+09,1.93572e+06,1.25718e+21,5.6065e+16,3.59089e+10,6.07915e+07,4.59236e+13
5.4e-09,2.25425e+09,1.94412e+06,1.25566e+21,5.59995e+16,3.60418e+10,6.10424e+07,4.60383e+13
5.43e-09,2.26003e+09,1.95166e+06,1.25413e+21,5.59074e+16,3.61533e+10,6.12631e+07,4.61191e+13
5.46e-09,2.26581e+09,1.95921e+06,1.2526e+21,5.58153e+16,3.62649e+10,6.14837e+07,4.62e+13
5.49e-09,2.27159e+09,1.96675e+06,1.25107e+21,5.57233e+16,3.63765e+10,6.17043e+07,4.62808e+13
5.52e-09,2.27737e+09,1.9743e+06,1.24954e+21,5.56312e+16,3.6488e+10,6.19249e+07,4.63616e+13
5.55e-09,2.28315e+09,1.98184e+06,1.24801e+21,5.55392e+16,3.65996e+10,6.21456e+07,4.64424e+13
5.58e-09,2.28894e+09,1.98939e+06,1.24648e+21,5.54471e+16,3.67111e+10,6.23662e+07,4.65232e+13
5.61e-09,2.29472e+09,1.99693e+06,1.24495e+21,5.53551e+16,3.68227e+10,6.25868e+07,4.6604e+13
5.64e-09,2.3005e+09,2.00448e+06,1.24342e+21,5.5263e+16,3.69342e+10,6.28074e+07,4.66848e+13
5.67e-09,2.30628e+09,2.01202e+06,1.24189e+21,5.5171e+16,3.70458e+10,6.3028e+07,4.67657e+13
5.7e-09,2.31206e+09,2.01957e+06,1.24036e+21,5.50789e+16,3.71574e+10,6.32487e+07,4.68465e+13
5.73e-09,2.31785e+09,2.02711e+06,1.23882e+21,5.49869e+16,3.72689e+10,6.34693e+07,4.69273e+13
5.76e-09,2.32363e+09,2.03466e+06,1.23729e+21,5.48948e+16,3.73805e+10,6.36899e+07,4.70081e+13
5.79e-09,2.32941e+09,2.0422e+06,1.23576e+21,5.48028e+16,3.7492e+10,6.39105e+07,4.70889e+13
5.82e-09,2.33519e+09,2.04975e+06,1.23423e+21,5.47107e+16,3.76036e+10,6.41312e+07,4.71697e+13
5.85e-09,2.34097e+09,2.05729e+06,1.2327e+21,5.46187e+16,3.77152e+10,6.43518e+07,4.72505e+13
5.88e-09,2.34675e+09,2.06484e+06,1.23117e+21,5.45266e+16,3.78267e+10,6.45724e+07,4.73313e+13
5.91e-09,2.35254e+09,2.07238e+06,1.22964e+21,5.44346e+16,3.79383e+10,6.4793e+07,4.74122e+13
5.94e-09,2.35832e+09,2.07993e+06,1.22811e+21,5.43425e+16,3.80498e+10,6.50136e+07,4.7493e+13
5.97e-09,2.3641e+09,2.08747e+06,1.22658e+21,5.42505e+16,3.81614e+10,6.52343e+07,4.75738e+13
6e-09,2.36988e+09,2.09502e+06,1.22505e+21,5.41584e+16,3.82729e+10,6.54549e+07,4.76546e+13
6.03e-09,2.37427e+09,2.10168e+06,1.22352e+21,5.40513e+16,3.83635e+10,6.56447e+07,4.77051e+13
6.06e-09,2.37865e+09,2.10835e+06,1.22199e+21,5.39442e+16,3.84542e+10,6.58345e+07,4.77557e+13
6.09e-09,2.38303e+09,2.11501e+06,1.22046e+21,5.38371e+16,3.85448e+10,6.60243e+07,4.78062e+13
6.12e-09,2.38742e+09,2.12168e+06,1.21893e+21,5.373e+16,3.86354e+10,6.62141e+07,4.78568e+13
6.15e-09,2.3918e+09,2.12834e+06,1.21739e+21,5.36229e+16,3.8726e+10,6.64039e+07,4.79073e+13
6.18e-09,2.39619e+09,2.13501e+06,1.21586e+21,5.35158e+16,3.88166e+10,6.65936e+07,4.79579e+13
6.21e-09,2.40057e+09,2.14168e+06,1.21433e+21,5.34087e+16,3.89072e+10,6.67834e+07,4.80084e+13
6.24e-09,2.40496e+09,2.14834e+06,1.2128e+21,5.33016e+16,3.89978e+10,6.69732e+07,4.8059e+13
6.27e-09,2.40934e+09,2.15501e+06,1.21127e+21,5.31945e+16,3.90884e+10,6.7163e+07,4.81096e+13
6.3e-09,2.41372e+09,2.16167e+06,1.20974e+21,5.30874e+16,3.9179e+10,6.73528e+07,4.81601e+13
6.33e-09,2.41811e+09,2.16834e+06,1.20821e+21,5.29804e+16,3.92696e+10,6.75426e+07,4.82107e+13
6.36e-09,2.42249e+09,2.175e+06,1.20668e+21,5.28733e+16,3.93602e+10,6.77324e+07,4.82612e+13
6.39e-09,2.42688e+09,2.18167e+06,1.20514e+21,5.27662e+16,3.94508e+10,6.79222e+07,4.83118e+13
6.42e-09,2.43126e+09,2.18834e+06,1.20361e+21,5.26591e+16,3.95414e+10,6.8112e+07,4.83623e+13
6.45e-09,2.43564e+09,2.195e+06,1.20208e+21,5.2552e+16,3.9632e+10,6.83018e+07,4.84129e+13
6.48e-09,2.44003e+09,2.20167e+06,1.20055e+21,5.24449e+16,3.97226e+10,6.84916e+07,4.84634e+13
6.51e-09,2.44441e+09,2.20833e+06,1.19902e+21,5.23378e+16,3.98132e+10,6.86814e+07,4.8514e+13
6.54e-09,2.4488e+09,2.215e+06,1.19749e+21,5.22307e+16,3.99038e+10,6.88712e+07,4.85645e+13
