"arc_length","cb","6","5","4","2","3","1"
3.99e-09,2.18922e+22,7.55604e+11,1.5887e+12,6.42219e+14,1.28306e+19,1.44518e+17,3.34183e+21
4.02e-09,2.19847e+22,7.59106e+11,1.59603e+12,6.45119e+14,1.28523e+19,1.45101e+17,3.30791e+21
4.05e-09,2.20772e+22,7.62607e+11,1.60337e+12,6.48019e+14,1.2874e+19,1.45685e+17,3.27398e+21
4.08e-09,2.21696e+22,7.66109e+11,1.6107e+12,6.50918e+14,1.28957e+19,1.46268e+17,3.24006e+21
4.11e-09,2.22621e+22,7.6961e+11,1.61803e+12,6.53818e+14,1.29175e+19,1.46851e+17,3.20614e+21
4.14e-09,2.23546e+22,7.73112e+11,1.62536e+12,6.56718e+14,1.29392e+19,1.47434e+17,3.17221e+21
4.17e-09,2.24471e+22,7.76613e+11,1.63269e+12,6.59617e+14,1.29609e+19,1.48018e+17,3.13829e+21
4.2e-09,2.25396e+22,7.80115e+11,1.64003e+12,6.62517e+14,1.29827e+19,1.48601e+17,3.10437e+21
4.23e-09,2.2608e+22,7.82897e+11,1.64584e+12,6.64796e+14,1.29921e+19,1.49039e+17,3.07589e+21
4.26e-09,2.26764e+22,7.85679e+11,1.65166e+12,6.67074e+14,1.30016e+19,1.49477e+17,3.04741e+21
4.29e-09,2.27449e+22,7.8846e+11,1.65747e+12,6.69353e+14,1.3011e+19,1.49915e+17,3.01894e+21
4.32e-09,2.28133e+22,7.91242e+11,1.66329e+12,6.71631e+14,1.30205e+19,1.50353e+17,2.99046e+21
4.35e-09,2.28817e+22,7.94024e+11,1.6691e+12,6.7391e+14,1.30299e+19,1.50792e+17,2.96198e+21
4.38e-09,2.29501e+22,7.96806e+11,1.67492e+12,6.76189e+14,1.30394e+19,1.5123e+17,2.93351e+21
4.41e-09,2.30185e+22,7.99588e+11,1.68073e+12,6.78467e+14,1.30488e+19,1.51668e+17,2.90503e+21
4.44e-09,2.3087e+22,8.02369e+11,1.68654e+12,6.80746e+14,1.30583e+19,1.52106e+17,2.87656e+21
4.47e-09,2.31554e+22,8.05151e+11,1.69236e+12,6.83024e+14,1.30677e+19,1.52544e+17,2.84808e+21
4.5e-09,2.32238e+22,8.07933e+11,1.69817e+12,6.85303e+14,1.30772e+19,1.52982e+17,2.8196e+21
4.53e-09,2.32922e+22,8.10715e+11,1.70399e+12,6.87582e+14,1.30866e+19,1.53421e+17,2.79113e+21
4.56e-09,2.33607e+22,8.13496e+11,1.7098e+12,6.8986e+14,1.30961e+19,1.53859e+17,2.76265e+21
4.59e-09,2.34291e+22,8.16278e+11,1.71562e+12,6.92139e+14,1.31055e+19,1.54297e+17,2.73418e+21
4.62e-09,2.34975e+22,8.1906e+11,1.72143e+12,6.94417e+14,1.3115e+19,1.54735e+17,2.7057e+21
4.65e-09,2.35659e+22,8.21842e+11,1.72725e+12,6.96696e+14,1.31244e+19,1.55173e+17,2.67723e+21
4.68e-09,2.36343e+22,8.24624e+11,1.73306e+12,6.98975e+14,1.31339e+19,1.55611e+17,2.64875e+21
4.71e-09,2.37028e+22,8.27405e+11,1.73888e+12,7.01253e+14,1.31433e+19,1.56049e+17,2.62027e+21
4.74e-09,2.37712e+22,8.30187e+11,1.74469e+12,7.03532e+14,1.31528e+19,1.56488e+17,2.5918e+21
4.77e-09,2.38396e+22,8.32969e+11,1.75051e+12,7.0581e+14,1.31622e+19,1.56926e+17,2.56332e+21
4.8e-09,2.3908e+22,8.35751e+11,1.75632e+12,7.08089e+14,1.31717e+19,1.57364e+17,2.53484e+21
4.83e-09,2.39583e+22,8.37902e+11,1.76081e+12,7.09829e+14,1.31729e+19,1.57681e+17,2.51193e+21
4.86e-09,2.40086e+22,8.40052e+11,1.7653e+12,7.11569e+14,1.31742e+19,1.57999e+17,2.48901e+21
4.89e-09,2.40588e+22,8.42203e+11,1.76978e+12,7.13309e+14,1.31754e+19,1.58317e+17,2.46609e+21
4.92e-09,2.41091e+22,8.44354e+11,1.77427e+12,7.15049e+14,1.31767e+19,1.58634e+17,2.44317e+21
4.95e-09,2.41594e+22,8.46505e+11,1.77876e+12,7.16789e+14,1.31779e+19,1.58952e+17,2.42025e+21
4.98e-09,2.42096e+22,8.48656e+11,1.78324e+12,7.18529e+14,1.31792e+19,1.5927e+17,2.39733e+21
5.01e-09,2.42599e+22,8.50807e+11,1.78773e+12,7.20269e+14,1.31804e+19,1.59587e+17,2.37441e+21
5.04e-09,2.43102e+22,8.52957e+11,1.79222e+12,7.22009e+14,1.31817e+19,1.59905e+17,2.35149e+21
5.07e-09,2.43605e+22,8.55108e+11,1.7967e+12,7.23749e+14,1.31829e+19,1.60223e+17,2.32858e+21
5.1e-09,2.44107e+22,8.57259e+11,1.80119e+12,7.25489e+14,1.31841e+19,1.6054e+17,2.30566e+21
5.13e-09,2.4461e+22,8.5941e+11,1.80568e+12,7.27229e+14,1.31854e+19,1.60858e+17,2.28274e+21
5.16e-09,2.45113e+22,8.61561e+11,1.81016e+12,7.28969e+14,1.31866e+19,1.61176e+17,2.25982e+21
5.19e-09,2.45615e+22,8.63712e+11,1.81465e+12,7.30709e+14,1.31879e+19,1.61493e+17,2.2369e+21
5.22e-09,2.46118e+22,8.65863e+11,1.81914e+12,7.32449e+14,1.31891e+19,1.61811e+17,2.21398e+21
5.25e-09,2.46621e+22,8.68013e+11,1.82362e+12,7.34189e+14,1.31904e+19,1.62128e+17,2.19106e+21
5.28e-09,2.47123e+22,8.70164e+11,1.82811e+12,7.35929e+14,1.31916e+19,1.62446e+17,2.16814e+21
5.31e-09,2.47626e+22,8.72315e+11,1.8326e+12,7.37669e+14,1.31929e+19,1.62764e+17,2.14523e+21
5.34e-09,2.48129e+22,8.74466e+11,1.83708e+12,7.39409e+14,1.31941e+19,1.63081e+17,2.12231e+21
5.37e-09,2.48632e+22,8.76617e+11,1.84157e+12,7.41149e+14,1.31953e+19,1.63399e+17,2.09939e+21
5.4e-09,2.49134e+22,8.78768e+11,1.84606e+12,7.42889e+14,1.31966e+19,1.63717e+17,2.07647e+21
5.43e-09,2.49485e+22,8.80375e+11,1.8494e+12,7.44169e+14,1.31923e+19,1.63935e+17,2.0582e+21
5.46e-09,2.49836e+22,8.81982e+11,1.85275e+12,7.4545e+14,1.31881e+19,1.64154e+17,2.03993e+21
5.49e-09,2.50187e+22,8.83589e+11,1.85609e+12,7.4673e+14,1.31838e+19,1.64373e+17,2.02166e+21
5.52e-09,2.50538e+22,8.85196e+11,1.85944e+12,7.48011e+14,1.31796e+19,1.64591e+17,2.00339e+21
5.55e-09,2.50889e+22,8.86803e+11,1.86278e+12,7.49291e+14,1.31753e+19,1.6481e+17,1.98512e+21
5.58e-09,2.5124e+22,8.8841e+11,1.86612e+12,7.50572e+14,1.3171e+19,1.65029e+17,1.96685e+21
5.61e-09,2.51591e+22,8.90017e+11,1.86947e+12,7.51852e+14,1.31668e+19,1.65247e+17,1.94858e+21
5.64e-09,2.51942e+22,8.91624e+11,1.87281e+12,7.53133e+14,1.31625e+19,1.65466e+17,1.93031e+21
5.67e-09,2.52293e+22,8.93231e+11,1.87616e+12,7.54413e+14,1.31583e+19,1.65685e+17,1.91205e+21
5.7e-09,2.52644e+22,8.94838e+11,1.8795e+12,7.55694e+14,1.3154e+19,1.65903e+17,1.89378e+21
5.73e-09,2.52995e+22,8.96445e+11,1.88284e+12,7.56974e+14,1.31497e+19,1.66122e+17,1.87551e+21
5.76e-09,2.53346e+22,8.98052e+11,1.88619e+12,7.58254e+14,1.31455e+19,1.66341e+17,1.85724e+21
5.79e-09,2.53697e+22,8.99659e+11,1.88953e+12,7.59535e+14,1.31412e+19,1.66559e+17,1.83897e+21
5.82e-09,2.54048e+22,9.01266e+11,1.89288e+12,7.60815e+14,1.3137e+19,1.66778e+17,1.8207e+21
5.85e-09,2.54399e+22,9.02874e+11,1.89622e+12,7.62096e+14,1.31327e+19,1.66997e+17,1.80243e+21
5.88e-09,2.5475e+22,9.04481e+11,1.89957e+12,7.63376e+14,1.31285e+19,1.67215e+17,1.78416e+21
5.91e-09,2.55101e+22,9.06088e+11,1.90291e+12,7.64657e+14,1.31242e+19,1.67434e+17,1.76589e+21
5.94e-09,2.55452e+22,9.07695e+11,1.90625e+12,7.65937e+14,1.31199e+19,1.67653e+17,1.74762e+21
5.97e-09,2.55803e+22,9.09302e+11,1.9096e+12,7.67218e+14,1.31157e+19,1.67871e+17,1.72935e+21
6e-09,2.56154e+22,9.10909e+11,1.91294e+12,7.68498e+14,1.31114e+19,1.6809e+17,1.71108e+21
6.03e-09,2.56373e+22,9.12051e+11,1.91531e+12,7.6939e+14,1.31034e+19,1.68228e+17,1.69651e+21
6.06e-09,2.56592e+22,9.13194e+11,1.91768e+12,7.70281e+14,1.30954e+19,1.68365e+17,1.68193e+21
6.09e-09,2.56811e+22,9.14337e+11,1.92005e+12,7.71172e+14,1.30875e+19,1.68503e+17,1.66736e+21
6.12e-09,2.5703e+22,9.15479e+11,1.92242e+12,7.72064e+14,1.30795e+19,1.6864e+17,1.65278e+21
6.15e-09,2.57249e+22,9.16622e+11,1.92479e+12,7.72955e+14,1.30715e+19,1.68778e+17,1.63821e+21
6.18e-09,2.57468e+22,9.17764e+11,1.92716e+12,7.73847e+14,1.30635e+19,1.68916e+17,1.62363e+21
6.21e-09,2.57687e+22,9.18907e+11,1.92953e+12,7.74738e+14,1.30555e+19,1.69053e+17,1.60906e+21
6.24e-09,2.57906e+22,9.2005e+11,1.9319e+12,7.7563e+14,1.30475e+19,1.69191e+17,1.59448e+21
6.27e-09,2.58125e+22,9.21192e+11,1.93427e+12,7.76521e+14,1.30395e+19,1.69328e+17,1.57991e+21
6.3e-09,2.58344e+22,9.22335e+11,1.93664e+12,7.77413e+14,1.30315e+19,1.69466e+17,1.56533e+21
6.33e-09,2.58563e+22,9.23477e+11,1.93901e+12,7.78304e+14,1.30236e+19,1.69604e+17,1.55076e+21
6.36e-09,2.58782e+22,9.2462e+11,1.94138e+12,7.79196e+14,1.30156e+19,1.69741e+17,1.53618e+21
6.39e-09,2.59001e+22,9.25763e+11,1.94375e+12,7.80087e+14,1.30076e+19,1.69879e+17,1.52161e+21
6.42e-09,2.5922e+22,9.26905e+11,1.94612e+12,7.80979e+14,1.29996e+19,1.70017e+17,1.50703e+21
6.45e-09,2.59439e+22,9.28048e+11,1.94849e+12,7.8187e+14,1.29916e+19,1.70154e+17,1.49246e+21
6.48e-09,2.59658e+22,9.2919e+11,1.95086e+12,7.82761e+14,1.29836e+19,1.70292e+17,1.47788e+21
6.51e-09,2.59877e+22,9.30333e+11,1.95323e+12,7.83653e+14,1.29756e+19,1.70429e+17,1.46331e+21
6.54e-09,2.60095e+22,9.31475e+11,1.9556e+12,7.84544e+14,1.29677e+19,1.70567e+17,1.44873e+21
6.57e-09,2.60314e+22,9.32618e+11,1.95797e+12,7.85436e+14,1.29597e+19,1.70705e+17,1.43416e+21
6.6e-09,2.60533e+22,9.33761e+11,1.96034e+12,7.86327e+14,1.29517e+19,1.70842e+17,1.41958e+21
6.63e-09,2.60636e+22,9.34508e+11,1.96188e+12,7.86891e+14,1.29411e+19,1.70914e+17,1.40791e+21
