"cb","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.9372e+14,1,1.05e-08,1.05e-08,0,0
7.927e+14,1,1.053e-08,1.053e-08,0,0
7.9168e+14,1,1.056e-08,1.056e-08,0,0
7.9066e+14,1,1.059e-08,1.059e-08,0,0
7.8964e+14,1,1.062e-08,1.062e-08,0,0
7.8862e+14,1,1.065e-08,1.065e-08,0,0
7.876e+14,1,1.068e-08,1.068e-08,0,0
7.8658e+14,1,1.071e-08,1.071e-08,0,0
7.8556e+14,1,1.074e-08,1.074e-08,0,0
7.8454e+14,1,1.077e-08,1.077e-08,0,0
7.8352e+14,1,1.08e-08,1.08e-08,0,0
7.8228e+14,1,1.083e-08,1.083e-08,0,0
7.8103e+14,1,1.086e-08,1.086e-08,0,0
7.7979e+14,1,1.089e-08,1.089e-08,0,0
7.7855e+14,1,1.092e-08,1.092e-08,0,0
7.7731e+14,1,1.095e-08,1.095e-08,0,0
7.7607e+14,1,1.098e-08,1.098e-08,0,0
7.7483e+14,1,1.101e-08,1.101e-08,0,0
7.7359e+14,1,1.104e-08,1.104e-08,0,0
7.7235e+14,1,1.107e-08,1.107e-08,0,0
7.7111e+14,1,1.11e-08,1.11e-08,0,0
7.6987e+14,1,1.113e-08,1.113e-08,0,0
7.6863e+14,1,1.116e-08,1.116e-08,0,0
7.6739e+14,1,1.119e-08,1.119e-08,0,0
7.6615e+14,1,1.122e-08,1.122e-08,0,0
7.6491e+14,1,1.125e-08,1.125e-08,0,0
7.6367e+14,1,1.128e-08,1.128e-08,0,0
7.6243e+14,1,1.131e-08,1.131e-08,0,0
7.6119e+14,1,1.134e-08,1.134e-08,0,0
7.5995e+14,1,1.137e-08,1.137e-08,0,0
7.587e+14,1,1.14e-08,1.14e-08,0,0
7.5728e+14,1,1.143e-08,1.143e-08,0,0
7.5585e+14,1,1.146e-08,1.146e-08,0,0
7.5442e+14,1,1.149e-08,1.149e-08,0,0
7.5299e+14,1,1.152e-08,1.152e-08,0,0
7.5157e+14,1,1.155e-08,1.155e-08,0,0
7.5014e+14,1,1.158e-08,1.158e-08,0,0
7.4871e+14,1,1.161e-08,1.161e-08,0,0
7.4728e+14,1,1.164e-08,1.164e-08,0,0
7.4586e+14,1,1.167e-08,1.167e-08,0,0
7.4443e+14,1,1.17e-08,1.17e-08,0,0
7.43e+14,1,1.173e-08,1.173e-08,0,0
7.4157e+14,1,1.176e-08,1.176e-08,0,0
7.4014e+14,1,1.179e-08,1.179e-08,0,0
7.3872e+14,1,1.182e-08,1.182e-08,0,0
7.3729e+14,1,1.185e-08,1.185e-08,0,0
7.3586e+14,1,1.188e-08,1.188e-08,0,0
7.3443e+14,1,1.191e-08,1.191e-08,0,0
7.3301e+14,1,1.194e-08,1.194e-08,0,0
7.3158e+14,1,1.197e-08,1.197e-08,0,0
7.3015e+14,1,1.2e-08,1.2e-08,0,0
7.2857e+14,1,1.203e-08,1.203e-08,0,0
7.2699e+14,1,1.206e-08,1.206e-08,0,0
7.254e+14,1,1.209e-08,1.209e-08,0,0
7.2382e+14,1,1.212e-08,1.212e-08,0,0
7.2224e+14,1,1.215e-08,1.215e-08,0,0
7.2065e+14,1,1.218e-08,1.218e-08,0,0
7.1907e+14,1,1.221e-08,1.221e-08,0,0
7.1749e+14,1,1.224e-08,1.224e-08,0,0
7.1591e+14,1,1.227e-08,1.227e-08,0,0
7.1432e+14,1,1.23e-08,1.23e-08,0,0
7.1274e+14,1,1.233e-08,1.233e-08,0,0
7.1116e+14,1,1.236e-08,1.236e-08,0,0
7.0958e+14,1,1.239e-08,1.239e-08,0,0
7.0799e+14,1,1.242e-08,1.242e-08,0,0
7.0641e+14,1,1.245e-08,1.245e-08,0,0
7.0483e+14,1,1.248e-08,1.248e-08,0,0
7.0324e+14,1,1.251e-08,1.251e-08,0,0
7.0166e+14,1,1.254e-08,1.254e-08,0,0
7.0008e+14,1,1.257e-08,1.257e-08,0,0
6.985e+14,1,1.26e-08,1.26e-08,0,0
6.9679e+14,1,1.263e-08,1.263e-08,0,0
6.9508e+14,1,1.266e-08,1.266e-08,0,0
6.9338e+14,1,1.269e-08,1.269e-08,0,0
6.9167e+14,1,1.272e-08,1.272e-08,0,0
6.8996e+14,1,1.275e-08,1.275e-08,0,0
6.8825e+14,1,1.278e-08,1.278e-08,0,0
6.8655e+14,1,1.281e-08,1.281e-08,0,0
6.8484e+14,1,1.284e-08,1.284e-08,0,0
6.8313e+14,1,1.287e-08,1.287e-08,0,0
6.8143e+14,1,1.29e-08,1.29e-08,0,0
6.7972e+14,1,1.293e-08,1.293e-08,0,0
6.7801e+14,1,1.296e-08,1.296e-08,0,0
6.7631e+14,1,1.299e-08,1.299e-08,0,0
6.746e+14,1,1.302e-08,1.302e-08,0,0
6.7289e+14,1,1.305e-08,1.305e-08,0,0
6.7118e+14,1,1.308e-08,1.308e-08,0,0
6.6948e+14,1,1.311e-08,1.311e-08,0,0
6.6777e+14,1,1.314e-08,1.314e-08,0,0
6.6606e+14,1,1.317e-08,1.317e-08,0,0
6.6436e+14,1,1.32e-08,1.32e-08,0,0
6.6255e+14,1,1.323e-08,1.323e-08,0,0
6.6075e+14,1,1.326e-08,1.326e-08,0,0
6.5895e+14,1,1.329e-08,1.329e-08,0,0
6.5715e+14,1,1.332e-08,1.332e-08,0,0
6.5534e+14,1,1.335e-08,1.335e-08,0,0
6.5354e+14,1,1.338e-08,1.338e-08,0,0
6.5174e+14,1,1.341e-08,1.341e-08,0,0
6.4994e+14,1,1.344e-08,1.344e-08,0,0
6.4814e+14,1,1.347e-08,1.347e-08,0,0
6.4633e+14,1,1.35e-08,1.35e-08,0,0
6.4453e+14,1,1.353e-08,1.353e-08,0,0
6.4273e+14,1,1.356e-08,1.356e-08,0,0
6.4093e+14,1,1.359e-08,1.359e-08,0,0
6.3912e+14,1,1.362e-08,1.362e-08,0,0
6.3732e+14,1,1.365e-08,1.365e-08,0,0
6.3552e+14,1,1.368e-08,1.368e-08,0,0
6.3372e+14,1,1.371e-08,1.371e-08,0,0
6.3192e+14,1,1.374e-08,1.374e-08,0,0
6.3011e+14,1,1.377e-08,1.377e-08,0,0
6.2831e+14,1,1.38e-08,1.38e-08,0,0
6.2644e+14,1,1.383e-08,1.383e-08,0,0
6.2457e+14,1,1.386e-08,1.386e-08,0,0
6.227e+14,1,1.389e-08,1.389e-08,0,0
6.2083e+14,1,1.392e-08,1.392e-08,0,0
6.1896e+14,1,1.395e-08,1.395e-08,0,0
6.1709e+14,1,1.398e-08,1.398e-08,0,0
6.1522e+14,1,1.401e-08,1.401e-08,0,0
6.1335e+14,1,1.404e-08,1.404e-08,0,0
6.1148e+14,1,1.407e-08,1.407e-08,0,0
6.0961e+14,1,1.41e-08,1.41e-08,0,0
6.0774e+14,1,1.413e-08,1.413e-08,0,0
6.0587e+14,1,1.416e-08,1.416e-08,0,0
6.04e+14,1,1.419e-08,1.419e-08,0,0
6.0213e+14,1,1.422e-08,1.422e-08,0,0
6.0026e+14,1,1.425e-08,1.425e-08,0,0
5.9838e+14,1,1.428e-08,1.428e-08,0,0
5.9651e+14,1,1.431e-08,1.431e-08,0,0
5.9464e+14,1,1.434e-08,1.434e-08,0,0
5.9277e+14,1,1.437e-08,1.437e-08,0,0
5.909e+14,1,1.44e-08,1.44e-08,0,0
5.8899e+14,1,1.443e-08,1.443e-08,0,0
5.8708e+14,1,1.446e-08,1.446e-08,0,0
5.8516e+14,1,1.449e-08,1.449e-08,0,0
5.8325e+14,1,1.452e-08,1.452e-08,0,0
5.8134e+14,1,1.455e-08,1.455e-08,0,0
5.7942e+14,1,1.458e-08,1.458e-08,0,0
5.7751e+14,1,1.461e-08,1.461e-08,0,0
5.756e+14,1,1.464e-08,1.464e-08,0,0
5.7368e+14,1,1.467e-08,1.467e-08,0,0
5.7177e+14,1,1.47e-08,1.47e-08,0,0
