"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.8319e+06,1,5.74e-08,5.74e-08,0,0
9.8176e+06,1,5.76e-08,5.76e-08,0,0
9.8034e+06,1,5.78e-08,5.78e-08,0,0
9.7892e+06,1,5.8e-08,5.8e-08,0,0
9.775e+06,1,5.82e-08,5.82e-08,0,0
9.7608e+06,1,5.84e-08,5.84e-08,0,0
9.7466e+06,1,5.86e-08,5.86e-08,0,0
9.7325e+06,1,5.88e-08,5.88e-08,0,0
9.7185e+06,1,5.9e-08,5.9e-08,0,0
9.7044e+06,1,5.92e-08,5.92e-08,0,0
9.6903e+06,1,5.94e-08,5.94e-08,0,0
9.6763e+06,1,5.96e-08,5.96e-08,0,0
9.6623e+06,1,5.98e-08,5.98e-08,0,0
9.6483e+06,1,6e-08,6e-08,0,0
9.6344e+06,1,6.02e-08,6.02e-08,0,0
9.6204e+06,1,6.04e-08,6.04e-08,0,0
9.6065e+06,1,6.06e-08,6.06e-08,0,0
9.5926e+06,1,6.08e-08,6.08e-08,0,0
9.5788e+06,1,6.1e-08,6.1e-08,0,0
9.5649e+06,1,6.12e-08,6.12e-08,0,0
9.5511e+06,1,6.14e-08,6.14e-08,0,0
9.5373e+06,1,6.16e-08,6.16e-08,0,0
9.5235e+06,1,6.18e-08,6.18e-08,0,0
9.5098e+06,1,6.2e-08,6.2e-08,0,0
9.4961e+06,1,6.22e-08,6.22e-08,0,0
9.4823e+06,1,6.24e-08,6.24e-08,0,0
9.4686e+06,1,6.26e-08,6.26e-08,0,0
9.455e+06,1,6.28e-08,6.28e-08,0,0
9.4414e+06,1,6.3e-08,6.3e-08,0,0
9.4278e+06,1,6.32e-08,6.32e-08,0,0
9.4141e+06,1,6.34e-08,6.34e-08,0,0
9.4006e+06,1,6.36e-08,6.36e-08,0,0
9.3871e+06,1,6.38e-08,6.38e-08,0,0
9.3735e+06,1,6.4e-08,6.4e-08,0,0
9.36e+06,1,6.42e-08,6.42e-08,0,0
9.3465e+06,1,6.44e-08,6.44e-08,0,0
9.3331e+06,1,6.46e-08,6.46e-08,0,0
9.3197e+06,1,6.48e-08,6.48e-08,0,0
9.3063e+06,1,6.5e-08,6.5e-08,0,0
9.2929e+06,1,6.52e-08,6.52e-08,0,0
9.2794e+06,1,6.54e-08,6.54e-08,0,0
9.2661e+06,1,6.56e-08,6.56e-08,0,0
9.2528e+06,1,6.58e-08,6.58e-08,0,0
9.2395e+06,1,6.6e-08,6.6e-08,0,0
9.2262e+06,1,6.62e-08,6.62e-08,0,0
9.2129e+06,1,6.64e-08,6.64e-08,0,0
9.1998e+06,1,6.66e-08,6.66e-08,0,0
9.1866e+06,1,6.68e-08,6.68e-08,0,0
9.1734e+06,1,6.7e-08,6.7e-08,0,0
9.1602e+06,1,6.72e-08,6.72e-08,0,0
9.147e+06,1,6.74e-08,6.74e-08,0,0
9.1339e+06,1,6.76e-08,6.76e-08,0,0
9.1209e+06,1,6.78e-08,6.78e-08,0,0
9.1078e+06,1,6.8e-08,6.8e-08,0,0
9.0947e+06,1,6.82e-08,6.82e-08,0,0
9.0816e+06,1,6.84e-08,6.84e-08,0,0
9.0687e+06,1,6.86e-08,6.86e-08,0,0
9.0557e+06,1,6.88e-08,6.88e-08,0,0
9.0427e+06,1,6.9e-08,6.9e-08,0,0
9.0298e+06,1,6.92e-08,6.92e-08,0,0
9.0168e+06,1,6.94e-08,6.94e-08,0,0
9.004e+06,1,6.96e-08,6.96e-08,0,0
8.9911e+06,1,6.98e-08,6.98e-08,0,0
8.9782e+06,1,7e-08,7e-08,0,0
8.9654e+06,1,7.02e-08,7.02e-08,0,0
8.9525e+06,1,7.04e-08,7.04e-08,0,0
8.9398e+06,1,7.06e-08,7.06e-08,0,0
8.927e+06,1,7.08e-08,7.08e-08,0,0
8.9143e+06,1,7.1e-08,7.1e-08,0,0
8.9015e+06,1,7.12e-08,7.12e-08,0,0
8.8888e+06,1,7.14e-08,7.14e-08,0,0
8.8762e+06,1,7.16e-08,7.16e-08,0,0
8.8635e+06,1,7.18e-08,7.18e-08,0,0
