"arc_length","1","2","6","3","4","5","cb"
4.11e-09,2.18126e+21,2.27881e+18,5.32352e+10,1.18358e+16,4.90428e+13,2.96969e+11,6.44362e+15
4.14e-09,2.17925e+21,2.28984e+18,5.35899e+10,1.19109e+16,4.93666e+13,2.98945e+11,6.48121e+15
4.17e-09,2.17724e+21,2.30086e+18,5.39447e+10,1.19861e+16,4.96905e+13,3.00921e+11,6.51881e+15
4.2e-09,2.17523e+21,2.31189e+18,5.42995e+10,1.20613e+16,5.00144e+13,3.02897e+11,6.5564e+15
4.23e-09,2.17278e+21,2.32101e+18,5.46364e+10,1.21309e+16,5.03206e+13,3.04772e+11,6.5888e+15
4.26e-09,2.17034e+21,2.33013e+18,5.49734e+10,1.22006e+16,5.06268e+13,3.06647e+11,6.6212e+15
4.29e-09,2.1679e+21,2.33925e+18,5.53104e+10,1.22703e+16,5.09329e+13,3.08522e+11,6.6536e+15
4.32e-09,2.16545e+21,2.34836e+18,5.56473e+10,1.23399e+16,5.12391e+13,3.10398e+11,6.686e+15
4.35e-09,2.16301e+21,2.35748e+18,5.59843e+10,1.24096e+16,5.15452e+13,3.12273e+11,6.7184e+15
4.38e-09,2.16057e+21,2.3666e+18,5.63212e+10,1.24793e+16,5.18514e+13,3.14148e+11,6.75079e+15
4.41e-09,2.15813e+21,2.37572e+18,5.66582e+10,1.2549e+16,5.21575e+13,3.16023e+11,6.78319e+15
4.44e-09,2.15568e+21,2.38483e+18,5.69952e+10,1.26186e+16,5.24637e+13,3.17898e+11,6.81559e+15
4.47e-09,2.15324e+21,2.39395e+18,5.73321e+10,1.26883e+16,5.27699e+13,3.19774e+11,6.84799e+15
4.5e-09,2.1508e+21,2.40307e+18,5.76691e+10,1.2758e+16,5.3076e+13,3.21649e+11,6.88039e+15
4.53e-09,2.14835e+21,2.41219e+18,5.80061e+10,1.28277e+16,5.33822e+13,3.23524e+11,6.91279e+15
4.56e-09,2.14591e+21,2.4213e+18,5.8343e+10,1.28973e+16,5.36883e+13,3.25399e+11,6.94518e+15
4.59e-09,2.14347e+21,2.43042e+18,5.868e+10,1.2967e+16,5.39945e+13,3.27274e+11,6.97758e+15
4.62e-09,2.14103e+21,2.43954e+18,5.9017e+10,1.30367e+16,5.43006e+13,3.29149e+11,7.00998e+15
4.65e-09,2.13858e+21,2.44866e+18,5.93539e+10,1.31063e+16,5.46068e+13,3.31025e+11,7.04238e+15
4.68e-09,2.13614e+21,2.45777e+18,5.96909e+10,1.3176e+16,5.4913e+13,3.329e+11,7.07478e+15
4.71e-09,2.1337e+21,2.46689e+18,6.00278e+10,1.32457e+16,5.52191e+13,3.34775e+11,7.10718e+15
4.74e-09,2.13126e+21,2.47601e+18,6.03648e+10,1.33154e+16,5.55253e+13,3.3665e+11,7.13958e+15
4.77e-09,2.12881e+21,2.48513e+18,6.07018e+10,1.3385e+16,5.58314e+13,3.38525e+11,7.17197e+15
4.8e-09,2.12637e+21,2.49424e+18,6.10387e+10,1.34547e+16,5.61376e+13,3.404e+11,7.20437e+15
4.83e-09,2.12384e+21,2.50162e+18,6.13561e+10,1.35186e+16,5.64244e+13,3.42165e+11,7.23236e+15
4.86e-09,2.12131e+21,2.509e+18,6.16735e+10,1.35825e+16,5.67112e+13,3.4393e+11,7.26034e+15
4.89e-09,2.11879e+21,2.51638e+18,6.19909e+10,1.36463e+16,5.6998e+13,3.45694e+11,7.28833e+15
4.92e-09,2.11626e+21,2.52375e+18,6.23083e+10,1.37102e+16,5.72848e+13,3.47459e+11,7.31632e+15
4.95e-09,2.11373e+21,2.53113e+18,6.26257e+10,1.37741e+16,5.75716e+13,3.49223e+11,7.3443e+15
4.98e-09,2.1112e+21,2.53851e+18,6.29431e+10,1.3838e+16,5.78584e+13,3.50988e+11,7.37229e+15
5.01e-09,2.10867e+21,2.54589e+18,6.32605e+10,1.39018e+16,5.81452e+13,3.52752e+11,7.40028e+15
5.04e-09,2.10615e+21,2.55327e+18,6.35779e+10,1.39657e+16,5.8432e+13,3.54517e+11,7.42826e+15
5.07e-09,2.10362e+21,2.56064e+18,6.38953e+10,1.40296e+16,5.87188e+13,3.56281e+11,7.45625e+15
5.1e-09,2.10109e+21,2.56802e+18,6.42127e+10,1.40935e+16,5.90056e+13,3.58046e+11,7.48423e+15
5.13e-09,2.09856e+21,2.5754e+18,6.45301e+10,1.41573e+16,5.92924e+13,3.5981e+11,7.51222e+15
5.16e-09,2.09603e+21,2.58278e+18,6.48474e+10,1.42212e+16,5.95792e+13,3.61575e+11,7.54021e+15
5.19e-09,2.09351e+21,2.59016e+18,6.51648e+10,1.42851e+16,5.9866e+13,3.6334e+11,7.56819e+15
5.22e-09,2.09098e+21,2.59753e+18,6.54822e+10,1.4349e+16,6.01528e+13,3.65104e+11,7.59618e+15
5.25e-09,2.08845e+21,2.60491e+18,6.57996e+10,1.44129e+16,6.04396e+13,3.66869e+11,7.62417e+15
5.28e-09,2.08592e+21,2.61229e+18,6.6117e+10,1.44767e+16,6.07265e+13,3.68633e+11,7.65215e+15
5.31e-09,2.0834e+21,2.61967e+18,6.64344e+10,1.45406e+16,6.10133e+13,3.70398e+11,7.68014e+15
5.34e-09,2.08087e+21,2.62704e+18,6.67518e+10,1.46045e+16,6.13001e+13,3.72162e+11,7.70812e+15
5.37e-09,2.07834e+21,2.63442e+18,6.70692e+10,1.46684e+16,6.15869e+13,3.73927e+11,7.73611e+15
5.4e-09,2.07581e+21,2.6418e+18,6.73866e+10,1.47322e+16,6.18737e+13,3.75691e+11,7.7641e+15
5.43e-09,2.07327e+21,2.6476e+18,6.76829e+10,1.47901e+16,6.21398e+13,3.77337e+11,7.78789e+15
5.46e-09,2.07073e+21,2.6534e+18,6.79792e+10,1.4848e+16,6.24059e+13,3.78982e+11,7.81168e+15
5.49e-09,2.06819e+21,2.65921e+18,6.82755e+10,1.49059e+16,6.2672e+13,3.80628e+11,7.83546e+15
5.52e-09,2.06566e+21,2.66501e+18,6.85718e+10,1.49638e+16,6.29381e+13,3.82273e+11,7.85925e+15
5.55e-09,2.06312e+21,2.67081e+18,6.88681e+10,1.50217e+16,6.32042e+13,3.83919e+11,7.88304e+15
5.58e-09,2.06058e+21,2.67661e+18,6.91644e+10,1.50795e+16,6.34704e+13,3.85564e+11,7.90683e+15
5.61e-09,2.05804e+21,2.68242e+18,6.94607e+10,1.51374e+16,6.37365e+13,3.8721e+11,7.93062e+15
5.64e-09,2.0555e+21,2.68822e+18,6.9757e+10,1.51953e+16,6.40026e+13,3.88855e+11,7.95441e+15
5.67e-09,2.05296e+21,2.69402e+18,7.00533e+10,1.52532e+16,6.42687e+13,3.90501e+11,7.9782e+15
5.7e-09,2.05042e+21,2.69982e+18,7.03496e+10,1.53111e+16,6.45348e+13,3.92146e+11,8.00199e+15
5.73e-09,2.04788e+21,2.70563e+18,7.06459e+10,1.5369e+16,6.48009e+13,3.93792e+11,8.02578e+15
5.76e-09,2.04534e+21,2.71143e+18,7.09422e+10,1.54269e+16,6.5067e+13,3.95437e+11,8.04956e+15
5.79e-09,2.04281e+21,2.71723e+18,7.12385e+10,1.54847e+16,6.53332e+13,3.97083e+11,8.07335e+15
5.82e-09,2.04027e+21,2.72303e+18,7.15348e+10,1.55426e+16,6.55993e+13,3.98728e+11,8.09714e+15
5.85e-09,2.03773e+21,2.72884e+18,7.18311e+10,1.56005e+16,6.58654e+13,4.00374e+11,8.12093e+15
5.88e-09,2.03519e+21,2.73464e+18,7.21274e+10,1.56584e+16,6.61315e+13,4.02019e+11,8.14472e+15
5.91e-09,2.03265e+21,2.74044e+18,7.24237e+10,1.57163e+16,6.63976e+13,4.03665e+11,8.16851e+15
5.94e-09,2.03011e+21,2.74624e+18,7.272e+10,1.57742e+16,6.66637e+13,4.0531e+11,8.1923e+15
5.97e-09,2.02757e+21,2.75205e+18,7.30164e+10,1.5832e+16,6.69298e+13,4.06956e+11,8.21609e+15
6e-09,2.02503e+21,2.75785e+18,7.33126e+10,1.58899e+16,6.7196e+13,4.08601e+11,8.23987e+15
6.03e-09,2.02249e+21,2.76223e+18,7.35866e+10,1.59417e+16,6.74403e+13,4.1012e+11,8.25954e+15
6.06e-09,2.01996e+21,2.76661e+18,7.38605e+10,1.59935e+16,6.76846e+13,4.1164e+11,8.27921e+15
6.09e-09,2.01742e+21,2.77099e+18,7.41344e+10,1.60453e+16,6.7929e+13,4.13159e+11,8.29888e+15
6.12e-09,2.01488e+21,2.77537e+18,7.44084e+10,1.60971e+16,6.81733e+13,4.14678e+11,8.31855e+15
6.15e-09,2.01234e+21,2.77975e+18,7.46823e+10,1.61488e+16,6.84177e+13,4.16198e+11,8.33821e+15
6.18e-09,2.0098e+21,2.78413e+18,7.49562e+10,1.62006e+16,6.8662e+13,4.17717e+11,8.35788e+15
6.21e-09,2.00726e+21,2.78851e+18,7.52301e+10,1.62524e+16,6.89064e+13,4.19236e+11,8.37755e+15
6.24e-09,2.00472e+21,2.79289e+18,7.55041e+10,1.63042e+16,6.91507e+13,4.20756e+11,8.39722e+15
6.27e-09,2.00218e+21,2.79727e+18,7.5778e+10,1.6356e+16,6.93951e+13,4.22275e+11,8.41689e+15
6.3e-09,1.99964e+21,2.80165e+18,7.60519e+10,1.64078e+16,6.96394e+13,4.23794e+11,8.43655e+15
6.33e-09,1.99711e+21,2.80603e+18,7.63259e+10,1.64595e+16,6.98838e+13,4.25314e+11,8.45622e+15
6.36e-09,1.99457e+21,2.81041e+18,7.65998e+10,1.65113e+16,7.01281e+13,4.26833e+11,8.47589e+15
6.39e-09,1.99203e+21,2.81479e+18,7.68737e+10,1.65631e+16,7.03724e+13,4.28353e+11,8.49556e+15
6.42e-09,1.98949e+21,2.81917e+18,7.71476e+10,1.66149e+16,7.06168e+13,4.29872e+11,8.51523e+15
6.45e-09,1.98695e+21,2.82355e+18,7.74216e+10,1.66667e+16,7.08611e+13,4.31391e+11,8.53489e+15
6.48e-09,1.98441e+21,2.82793e+18,7.76955e+10,1.67184e+16,7.11055e+13,4.32911e+11,8.55456e+15
6.51e-09,1.98187e+21,2.83231e+18,7.79694e+10,1.67702e+16,7.13498e+13,4.3443e+11,8.57423e+15
6.54e-09,1.97933e+21,2.83669e+18,7.82433e+10,1.6822e+16,7.15942e+13,4.35949e+11,8.5939e+15
6.57e-09,1.97679e+21,2.84107e+18,7.85173e+10,1.68738e+16,7.18385e+13,4.37469e+11,8.61356e+15
6.6e-09,1.97426e+21,2.84545e+18,7.87912e+10,1.69256e+16,7.20829e+13,4.38988e+11,8.63323e+15
6.63e-09,1.97172e+21,2.84854e+18,7.90417e+10,1.69712e+16,7.23046e+13,4.40375e+11,8.64886e+15
