"arc_length","4","5","cb","2","3","6","1"
4.89e-09,2.75529e+12,1.01702e+10,6.38682e+13,6.76226e+17,1.42951e+15,5.80831e+08,1.19104e+21
4.92e-09,2.76914e+12,1.0222e+10,6.41132e+13,6.78333e+17,1.43624e+15,5.83801e+08,1.18962e+21
4.95e-09,2.783e+12,1.02738e+10,6.43581e+13,6.8044e+17,1.44298e+15,5.86771e+08,1.18821e+21
4.98e-09,2.79686e+12,1.03257e+10,6.4603e+13,6.82548e+17,1.44971e+15,5.89741e+08,1.18679e+21
5.01e-09,2.81071e+12,1.03775e+10,6.4848e+13,6.84655e+17,1.45644e+15,5.92711e+08,1.18537e+21
5.04e-09,2.82457e+12,1.04293e+10,6.50929e+13,6.86762e+17,1.46318e+15,5.95681e+08,1.18395e+21
5.07e-09,2.83843e+12,1.04812e+10,6.53378e+13,6.8887e+17,1.46991e+15,5.98651e+08,1.18253e+21
5.1e-09,2.85228e+12,1.0533e+10,6.55828e+13,6.90977e+17,1.47665e+15,6.01621e+08,1.18111e+21
5.13e-09,2.86614e+12,1.05848e+10,6.58277e+13,6.93085e+17,1.48338e+15,6.04591e+08,1.17969e+21
5.16e-09,2.88e+12,1.06366e+10,6.60726e+13,6.95192e+17,1.49011e+15,6.07561e+08,1.17827e+21
5.19e-09,2.89385e+12,1.06885e+10,6.63176e+13,6.97299e+17,1.49685e+15,6.10531e+08,1.17685e+21
5.22e-09,2.90771e+12,1.07403e+10,6.65625e+13,6.99407e+17,1.50358e+15,6.13501e+08,1.17543e+21
5.25e-09,2.92157e+12,1.07921e+10,6.68075e+13,7.01514e+17,1.51032e+15,6.1647e+08,1.17402e+21
5.28e-09,2.93542e+12,1.0844e+10,6.70524e+13,7.03622e+17,1.51705e+15,6.1944e+08,1.1726e+21
5.31e-09,2.94928e+12,1.08958e+10,6.72973e+13,7.05729e+17,1.52378e+15,6.2241e+08,1.17118e+21
5.34e-09,2.96314e+12,1.09476e+10,6.75423e+13,7.07836e+17,1.53052e+15,6.2538e+08,1.16976e+21
5.37e-09,2.977e+12,1.09995e+10,6.77872e+13,7.09944e+17,1.53725e+15,6.2835e+08,1.16834e+21
5.4e-09,2.99085e+12,1.10513e+10,6.80321e+13,7.12051e+17,1.54399e+15,6.3132e+08,1.16692e+21
5.43e-09,3.00371e+12,1.10996e+10,6.82402e+13,7.13749e+17,1.5501e+15,6.34091e+08,1.16549e+21
5.46e-09,3.01656e+12,1.11479e+10,6.84482e+13,7.15448e+17,1.55621e+15,6.36862e+08,1.16407e+21
5.49e-09,3.02941e+12,1.11962e+10,6.86563e+13,7.17146e+17,1.56233e+15,6.39633e+08,1.16264e+21
5.52e-09,3.04227e+12,1.12445e+10,6.88643e+13,7.18844e+17,1.56844e+15,6.42404e+08,1.16122e+21
5.55e-09,3.05512e+12,1.12928e+10,6.90723e+13,7.20543e+17,1.57456e+15,6.45176e+08,1.15979e+21
5.58e-09,3.06797e+12,1.13411e+10,6.92804e+13,7.22241e+17,1.58067e+15,6.47947e+08,1.15837e+21
5.61e-09,3.08083e+12,1.13894e+10,6.94884e+13,7.23939e+17,1.58679e+15,6.50718e+08,1.15694e+21
5.64e-09,3.09368e+12,1.14377e+10,6.96965e+13,7.25638e+17,1.5929e+15,6.53489e+08,1.15552e+21
5.67e-09,3.10653e+12,1.1486e+10,6.99045e+13,7.27336e+17,1.59902e+15,6.5626e+08,1.15409e+21
5.7e-09,3.11939e+12,1.15343e+10,7.01126e+13,7.29034e+17,1.60513e+15,6.59031e+08,1.15266e+21
5.73e-09,3.13224e+12,1.15826e+10,7.03206e+13,7.30733e+17,1.61125e+15,6.61802e+08,1.15124e+21
5.76e-09,3.14509e+12,1.16309e+10,7.05286e+13,7.32431e+17,1.61736e+15,6.64573e+08,1.14981e+21
5.79e-09,3.15795e+12,1.16792e+10,7.07367e+13,7.34129e+17,1.62347e+15,6.67344e+08,1.14839e+21
5.82e-09,3.1708e+12,1.17276e+10,7.09447e+13,7.35828e+17,1.62959e+15,6.70115e+08,1.14696e+21
5.85e-09,3.18366e+12,1.17759e+10,7.11528e+13,7.37526e+17,1.6357e+15,6.72886e+08,1.14554e+21
5.88e-09,3.19651e+12,1.18242e+10,7.13608e+13,7.39224e+17,1.64182e+15,6.75658e+08,1.14411e+21
5.91e-09,3.20936e+12,1.18725e+10,7.15689e+13,7.40923e+17,1.64793e+15,6.78429e+08,1.14268e+21
5.94e-09,3.22222e+12,1.19208e+10,7.17769e+13,7.42621e+17,1.65405e+15,6.812e+08,1.14126e+21
5.97e-09,3.23507e+12,1.19691e+10,7.19849e+13,7.4432e+17,1.66016e+15,6.83971e+08,1.13983e+21
6e-09,3.24792e+12,1.20174e+10,7.2193e+13,7.46018e+17,1.66628e+15,6.86742e+08,1.13841e+21
6.03e-09,3.25972e+12,1.20619e+10,7.23648e+13,7.47343e+17,1.67176e+15,6.89302e+08,1.13698e+21
6.06e-09,3.27152e+12,1.21065e+10,7.25366e+13,7.48669e+17,1.67724e+15,6.91862e+08,1.13556e+21
6.09e-09,3.28332e+12,1.21511e+10,7.27085e+13,7.49994e+17,1.68272e+15,6.94423e+08,1.13413e+21
6.12e-09,3.29511e+12,1.21956e+10,7.28803e+13,7.51319e+17,1.68821e+15,6.96983e+08,1.1327e+21
6.15e-09,3.30691e+12,1.22402e+10,7.30521e+13,7.52645e+17,1.69369e+15,6.99543e+08,1.13128e+21
6.18e-09,3.31871e+12,1.22848e+10,7.32239e+13,7.5397e+17,1.69917e+15,7.02103e+08,1.12985e+21
6.21e-09,3.33051e+12,1.23293e+10,7.33958e+13,7.55295e+17,1.70465e+15,7.04663e+08,1.12843e+21
6.24e-09,3.34231e+12,1.23739e+10,7.35676e+13,7.56621e+17,1.71013e+15,7.07224e+08,1.127e+21
6.27e-09,3.3541e+12,1.24185e+10,7.37394e+13,7.57946e+17,1.71562e+15,7.09784e+08,1.12558e+21
6.3e-09,3.3659e+12,1.2463e+10,7.39113e+13,7.59271e+17,1.7211e+15,7.12344e+08,1.12415e+21
6.33e-09,3.3777e+12,1.25076e+10,7.40831e+13,7.60597e+17,1.72658e+15,7.14904e+08,1.12272e+21
6.36e-09,3.3895e+12,1.25522e+10,7.42549e+13,7.61922e+17,1.73206e+15,7.17465e+08,1.1213e+21
6.39e-09,3.40129e+12,1.25968e+10,7.44267e+13,7.63248e+17,1.73754e+15,7.20025e+08,1.11987e+21
6.42e-09,3.41309e+12,1.26413e+10,7.45986e+13,7.64573e+17,1.74303e+15,7.22585e+08,1.11845e+21
6.45e-09,3.42489e+12,1.26859e+10,7.47704e+13,7.65898e+17,1.74851e+15,7.25145e+08,1.11702e+21
6.48e-09,3.43669e+12,1.27305e+10,7.49422e+13,7.67224e+17,1.75399e+15,7.27705e+08,1.11559e+21
6.51e-09,3.44849e+12,1.2775e+10,7.5114e+13,7.68549e+17,1.75947e+15,7.30266e+08,1.11417e+21
6.54e-09,3.46028e+12,1.28196e+10,7.52859e+13,7.69874e+17,1.76495e+15,7.32826e+08,1.11274e+21
6.57e-09,3.47208e+12,1.28642e+10,7.54577e+13,7.712e+17,1.77044e+15,7.35386e+08,1.11132e+21
6.6e-09,3.48388e+12,1.29087e+10,7.56295e+13,7.72525e+17,1.77592e+15,7.37946e+08,1.10989e+21
6.63e-09,3.49458e+12,1.29494e+10,7.57659e+13,7.73511e+17,1.78076e+15,7.40286e+08,1.10847e+21
