"arc_length","2","3","4","1","6","cb","5"
8.4e-08,1.07924e+18,3.2679e+17,3.97603e+16,7.61787e+20,7.5379e+15,2.36556e+21,7.28575e+15
8.45e-08,1.06537e+18,3.25583e+17,3.97499e+16,7.56881e+20,7.55263e+15,2.3669e+21,7.29756e+15
8.5e-08,1.05152e+18,3.24376e+17,3.97392e+16,7.51982e+20,7.56731e+15,2.36823e+21,7.30933e+15
8.55e-08,1.03803e+18,3.23166e+17,3.9726e+16,7.47152e+20,7.5815e+15,2.36942e+21,7.32061e+15
8.6e-08,1.02458e+18,3.21955e+17,3.97124e+16,7.42331e+20,7.59563e+15,2.3706e+21,7.33183e+15
8.65e-08,1.01146e+18,3.20743e+17,3.96965e+16,7.37575e+20,7.6093e+15,2.37164e+21,7.34259e+15
8.7e-08,9.98397e+17,3.1953e+17,3.96801e+16,7.32831e+20,7.62288e+15,2.37266e+21,7.35327e+15
8.75e-08,9.85636e+17,3.18315e+17,3.96616e+16,7.28148e+20,7.63604e+15,2.37357e+21,7.36352e+15
8.8e-08,9.72951e+17,3.17101e+17,3.96425e+16,7.2348e+20,7.64908e+15,2.37444e+21,7.37367e+15
8.85e-08,9.6054e+17,3.15885e+17,3.96214e+16,7.18868e+20,7.66173e+15,2.3752e+21,7.38343e+15
8.9e-08,9.4822e+17,3.1467e+17,3.95997e+16,7.14275e+20,7.67425e+15,2.37593e+21,7.39305e+15
8.95e-08,9.3615e+17,3.13453e+17,3.95761e+16,7.09733e+20,7.6864e+15,2.37656e+21,7.40232e+15
9e-08,9.24183e+17,3.12237e+17,3.95519e+16,7.05213e+20,7.6984e+15,2.37715e+21,7.41143e+15
9.05e-08,9.12443e+17,3.11021e+17,3.9526e+16,7.00741e+20,7.71006e+15,2.37764e+21,7.42022e+15
9.1e-08,9.0082e+17,3.09805e+17,3.94992e+16,6.96294e+20,7.72155e+15,2.37809e+21,7.42883e+15
9.15e-08,8.89402e+17,3.08588e+17,3.9471e+16,6.9189e+20,7.73272e+15,2.37846e+21,7.43714e+15
9.2e-08,8.78111e+17,3.07373e+17,3.94418e+16,6.87513e+20,7.74371e+15,2.37877e+21,7.44526e+15
9.25e-08,8.67006e+17,3.06158e+17,3.94114e+16,6.83177e+20,7.75441e+15,2.37901e+21,7.4531e+15
9.3e-08,8.56038e+17,3.04943e+17,3.93799e+16,6.7887e+20,7.76491e+15,2.3792e+21,7.46074e+15
9.35e-08,8.45235e+17,3.03729e+17,3.93473e+16,6.74599e+20,7.77514e+15,2.37932e+21,7.46813e+15
9.4e-08,8.34581e+17,3.02516e+17,3.93136e+16,6.70361e+20,7.78515e+15,2.37937e+21,7.47529e+15
9.45e-08,8.24073e+17,3.01304e+17,3.92788e+16,6.66155e+20,7.79493e+15,2.37937e+21,7.48223e+15
