"arc_length","2","3","4","1","6","cb","5"
6.15e-08,8.83765e+18,3.38985e+18,1.13696e+18,2.23046e+21,6.88091e+17,4.94892e+18,6.21436e+17
6.2e-08,8.83079e+18,3.40578e+18,1.14462e+18,2.22957e+21,6.93136e+17,4.98144e+18,6.25995e+17
6.25e-08,8.82393e+18,3.42169e+18,1.15228e+18,2.22867e+21,6.98181e+17,5.01395e+18,6.30552e+17
6.3e-08,8.81705e+18,3.43733e+18,1.15987e+18,2.22778e+21,7.03201e+17,5.04616e+18,6.35089e+17
6.35e-08,8.81018e+18,3.45295e+18,1.16746e+18,2.22688e+21,7.0822e+17,5.07837e+18,6.39624e+17
6.4e-08,8.80329e+18,3.46832e+18,1.175e+18,2.22599e+21,7.13217e+17,5.1103e+18,6.44139e+17
6.45e-08,8.79641e+18,3.48366e+18,1.18253e+18,2.22509e+21,7.18211e+17,5.14221e+18,6.48652e+17
6.5e-08,8.78951e+18,3.49875e+18,1.19e+18,2.2242e+21,7.23183e+17,5.17386e+18,6.53145e+17
6.55e-08,8.78262e+18,3.51381e+18,1.19747e+18,2.22331e+21,7.28152e+17,5.20546e+18,6.57635e+17
6.6e-08,8.77572e+18,3.52865e+18,1.20488e+18,2.22241e+21,7.331e+17,5.23682e+18,6.62106e+17
6.65e-08,8.76881e+18,3.54343e+18,1.21228e+18,2.22152e+21,7.38043e+17,5.26812e+18,6.66573e+17
6.7e-08,8.76191e+18,3.558e+18,1.21964e+18,2.22063e+21,7.42966e+17,5.29919e+18,6.71023e+17
6.75e-08,8.755e+18,3.57251e+18,1.22698e+18,2.21973e+21,7.47883e+17,5.33019e+18,6.75467e+17
6.8e-08,8.74809e+18,3.58683e+18,1.23427e+18,2.21884e+21,7.52781e+17,5.36097e+18,6.79894e+17
6.85e-08,8.74118e+18,3.60107e+18,1.24154e+18,2.21795e+21,7.57673e+17,5.39167e+18,6.84314e+17
6.9e-08,8.73427e+18,3.61513e+18,1.24878e+18,2.21705e+21,7.62546e+17,5.42216e+18,6.88719e+17
6.95e-08,8.72735e+18,3.62911e+18,1.25599e+18,2.21616e+21,7.6741e+17,5.45255e+18,6.93116e+17
7e-08,8.72044e+18,3.64292e+18,1.26316e+18,2.21527e+21,7.72258e+17,5.48275e+18,6.97498e+17
7.05e-08,8.71353e+18,3.65664e+18,1.2703e+18,2.21438e+21,7.77096e+17,5.51284e+18,7.01872e+17
7.1e-08,8.70661e+18,3.67021e+18,1.27741e+18,2.21349e+21,7.81919e+17,5.54275e+18,7.06231e+17
7.15e-08,8.6997e+18,3.68367e+18,1.2845e+18,2.21259e+21,7.8673e+17,5.57253e+18,7.1058e+17
7.2e-08,8.69279e+18,3.69699e+18,1.29155e+18,2.2117e+21,7.91527e+17,5.60214e+18,7.14917e+17
7.25e-08,8.68588e+18,3.7102e+18,1.29857e+18,2.21081e+21,7.96311e+17,5.63162e+18,7.19242e+17
7.3e-08,8.67897e+18,3.72328e+18,1.30555e+18,2.20992e+21,8.01082e+17,5.66094e+18,7.23555e+17
7.35e-08,8.67206e+18,3.73624e+18,1.31251e+18,2.20903e+21,8.05839e+17,5.69011e+18,7.27857e+17
7.4e-08,8.66515e+18,3.74909e+18,1.31944e+18,2.20814e+21,8.10584e+17,5.71914e+18,7.32147e+17
7.45e-08,8.65824e+18,3.7618e+18,1.32633e+18,2.20725e+21,8.15314e+17,5.748e+18,7.36424e+17
7.5e-08,8.65134e+18,3.77441e+18,1.33319e+18,2.20636e+21,8.20033e+17,5.77673e+18,7.4069e+17
7.55e-08,8.64444e+18,3.78689e+18,1.34002e+18,2.20547e+21,8.24735e+17,5.80528e+18,7.44942e+17
7.6e-08,8.63753e+18,3.79927e+18,1.34683e+18,2.20458e+21,8.29427e+17,5.83372e+18,7.49186e+17
7.65e-08,8.63064e+18,3.8115e+18,1.35359e+18,2.20369e+21,8.34102e+17,5.86197e+18,7.53413e+17
7.7e-08,8.62374e+18,3.82366e+18,1.36033e+18,2.2028e+21,8.38767e+17,5.89011e+18,7.57633e+17
7.75e-08,8.61684e+18,3.83566e+18,1.36703e+18,2.20191e+21,8.43414e+17,5.91805e+18,7.61835e+17
7.8e-08,8.60995e+18,3.84759e+18,1.37372e+18,2.20102e+21,8.48053e+17,5.9459e+18,7.66031e+17
7.85e-08,8.60306e+18,3.85936e+18,1.38035e+18,2.20013e+21,8.52671e+17,5.97353e+18,7.70209e+17
7.9e-08,8.59618e+18,3.87107e+18,1.38697e+18,2.19924e+21,8.57283e+17,6.00108e+18,7.7438e+17
